Date,PEP,CTB,SKYW,EQT,COHR,SNFCA,NSEC,OTTR,WY,GOLD
2004-11-01,0.00019951547001240922,4.2175776916557315e-05,9.26518779926403e-05,4.987059833006382e-05,24.608560187015836,5.532873536267686e-05,5.381742689665605e-05,0.00012306031453384402,0.0003940086003643341,6.925899028772546e-05
2004-11-02,0.00020089143940992736,4.2645106291721345e-05,9.415492487056122e-05,4.969201035164833e-05,24.05859123417364,5.187966799216331e-05,5.381742689665605e-05,0.0001205422224788475,0.000393006513,6.777056739194301e-05
2004-11-03,0.00020291492290992738,4.24744406944809e-05,9.38865181573597e-05,5.042422075028419e-05,24.6985550718948,5.461017683385611e-05,5.504339280000001e-05,0.0001228737934788475,0.000399895860643341,6.929065346227456e-05
2004-11-04,0.00020724517636489106,4.3071772319316866e-05,9.80735707352806e-05,5.072782125219345e-05,26.2984598981052,4.914915915047048e-05,5.749532460668793e-05,0.00012273389601692201,0.0004099167342866821,7.049405946483423e-05
2004-11-05,0.0002072047134875908,4.383976547240448e-05,9.914716687207907e-05,5.061173797118664e-05,26.858428494515834,5.245451093869817e-05,5.4042604794426734e-05,0.00012427273252115255,0.000410229906,7.264751775127984e-05
2004-11-08,0.0002058692069673729,4.2410439569644934e-05,9.764413023282737e-05,5.0263491256842615e-05,26.548445265605203,5.590357830921175e-05,5.4042604794426734e-05,0.0001237131604619255,0.0004106056738293457,7.331255314194301e-05
2004-11-09,0.00020647625819255447,4.287977301379776e-05,0.00010038181727546768,4.962057641175271e-05,26.958421115726242,5.590357830921175e-05,5.4042604794426734e-05,0.0001237131604619255,0.00041592930625598145,7.337589157161141e-05
2004-11-10,0.0002076903452049637,4.294377006964493e-05,9.436964000245323e-05,4.973665969275951e-05,27.348399585947398,5.5759862726925855e-05,5.4042604794426734e-05,0.000124972202042305,0.00041517772281399537,7.131744092966844e-05
2004-11-11,0.00020858068288510896,4.383976547240448e-05,9.581900553773384e-05,4.974558893524647e-05,27.368398873084278,5.590357830921175e-05,5.484323519888535e-05,0.000126091363949234,0.00041762030927133175,7.172912864194301e-05
2004-11-12,0.00021133262168014527,4.441576338896179e-05,9.726837107301444e-05,5.0477796205205924e-05,27.888366987984163,5.7053264202281476e-05,5.72951670055733e-05,0.000125578415483078,0.000418685016643341,7.350256239066315e-05
2004-11-15,0.00021015899754503632,4.477842829172135e-05,9.861037392301445e-05,5.021884504440785e-05,28.2483465275,5.748439802740002e-05,5.6219318110031885e-05,0.0001252053644788475,0.0004182466049146728,7.255251010677719e-05
2004-11-16,0.00020740705875,4.3519767986202256e-05,9.657052385735969e-05,5.0290278984303474e-05,27.87836734441572,4.7424627080431105e-05,5.684481121003189e-05,0.0001232002119957695,0.00041185831289932247,7.394592535805702e-05
2004-11-17,0.00020756894113510896,4.413843331931687e-05,9.785884536471939e-05,5.0576021001238825e-05,28.398337366552607,4.411927529220343e-05,5.37924066e-05,0.000124319365008461,0.00041436354325598144,7.635273132289123e-05
2004-11-18,0.00020732611755744552,4.46077626944809e-05,9.818093342056122e-05,5.12457235737896e-05,28.638323090484164,4.670607178204512e-05,5.31669135e-05,0.000124412629983078,0.00041392508374401855,7.638440053772546e-05
2004-11-19,0.0002057882657748184,4.420243037516403e-05,9.646316117207909e-05,5.10492771104002e-05,28.328341768810517,4.4981539712005734e-05,5.31669135e-05,0.000121754640466156,0.0004087267868993225,7.863286042838859e-05
2004-11-22,0.00020728565468014528,4.4522431930355074e-05,9.812725207792092e-05,5.1790416751523025e-05,28.8483117909474,4.3688141467084885e-05,5.31669135e-05,0.000125811569025383,0.0004146140232866821,8.040629417710878e-05
2004-11-23,0.00020785222759007264,4.405309848620226e-05,9.92545295573597e-05,5.209401412475586e-05,28.458333320726243,4.5843807362242824e-05,5.31669135e-05,0.0001258582015126915,0.00040878938301535034,7.8854538891943e-05
2004-11-24,0.00020740705875,4.458642898620226e-05,9.984501408773385e-05,5.2710144371061325e-05,29.26828728463688,4.512525206385684e-05,5.31669135e-05,0.0001245991510380745,0.00041436354325598144,7.796782503772546e-05
2004-11-26,0.00020748799994255447,4.441576338896179e-05,0.0001001134105622662,5.287087073582649e-05,29.05829858417364,4.512525206385684e-05,5.564386560334397e-05,0.0001253452530465355,0.000416492958,8.024795414322281e-05
2004-11-29,0.0002041694882375908,4.415976702759552e-05,0.00010252901978773384,5.287087073582649e-05,29.5482696756052,4.512525206385684e-05,5.501837250334397e-05,0.0001252986294534645,0.000411795669,8.040629417710878e-05
2004-11-30,0.00020198412235248185,4.3562435402759556e-05,0.0001021532606279209,5.312982502530098e-05,28.888308457984166,4.512525206385684e-05,5.501837250334397e-05,0.000125578415483078,0.000413361432,7.787281739322281e-05
